"Adresse","Occurrences","H1-1","Longueur du H1-1","H1-2","Longueur du H1-2","Indexabilité","Statut d'indexabilité"
"https://www.wienerschnitzel.com/location/637-45th-street-west-west-avenue-lancaster-42741-45th-street-west-lancaster-ca-93536/","1","Wienerschnitzel 45th Street & West Avenue in Lancaster","54","","0","Indexable",""
"https://www.wienerschnitzel.com/food/tastee-freez/classic-banana-split/","1","Classic Banana Split","20","","0","Indexable",""
"https://www.wienerschnitzel.com/location/807-phelan-sheep-creek-phelan-4145-phelan-rd-phelan-ca-92371/","1","Wienerschnitzel phelan sheep creek Phelan","41","","0","Indexable",""
"https://www.wienerschnitzel.com/location/153-convoy-armour-san-diego-4393-convoy-san-diego-ca-92111/","1","Wienerschnitzel Convoy & Armour in San Diego","44","","0","Indexable",""
"https://www.wienerschnitzel.com/specials-coupons/","1","Join the Wiener Lovers’ Club!","29","","0","Non indexable","noindex"
"https://www.wienerschnitzel.com/location/222-garvey-nevada-el-monte-10939-garvey-el-monte-ca-91733/","1","Wienerschnitzel Garvey & Nevada in El Monte","43","","0","Indexable",""
"https://www.wienerschnitzel.com/locations/wiener-wagon/wiener-wagon-form/","0","","0","","0","Indexable",""
"https://www.wienerschnitzel.com/location/645-madison-murrieta-hot-springs-murrieta-25250-madison-avenue-murrieta-ca-92562/","1","Wienerschnitzel Madison Murrieta Hot Springs Murrieta","53","","0","Indexable",""
"https://www.wienerschnitzel.com/location/300-sunrise-madison-citrus-heights-5441-sunrise-citrus-heights-ca-95610/","1","Wienerschnitzel Sunrise Blvd and Madison Ave in Citrus Heights","62","","0","Indexable",""
"https://www.wienerschnitzel.com/location/659-washington-ave-42-bermuda-dunes-42092-washington-street-bermuda-dunes-ca-92201/","1","Wienerschnitzel washington ave 42 Bermuda Dunes","47","","0","Indexable",""
"https://www.wienerschnitzel.com/location/306-west-chapman-north-stevens-orange-2205-w-chapman-ave-orange-ca-92868/","1","Wienerschnitzel West Chapman & North Stevens in Orange","54","","0","Indexable",""
"https://www.wienerschnitzel.com/location/698-riverside-pipeine-chino-4103-riverside-drive-chino-ca-91710/","1","Wienerschnitzel riverside pipeine Chino","39","","0","Indexable",""
"https://www.wienerschnitzel.com/location/769-east-avenue-k-challenger-lancaster-825-east-ave-k-lancaster-ca-93535/","1","Wienerschnitzel East Avenue K & Challenger in Lancaster","55","","0","Indexable",""
"https://www.wienerschnitzel.com/food/burgers/deluxe-cheeseburger/","1","Deluxe Cheeseburger","19","","0","Indexable",""
"https://www.wienerschnitzel.com/location/453-north-chester-east-arvin-oildale-236-north-chester-ave-oildale-ca-93308/","1","Wienerschnitzel north chester east arvin Oildale","48","","0","Indexable",""
"https://www.wienerschnitzel.com/location/331-mchenry-sylvan-modesto-3342-mchenry-modesto-ca-95350/","1","Wienerschnitzel McHenry Ave and Sylvan Ave in Modesto","53","","0","Indexable",""
"https://www.wienerschnitzel.com/location/15-harbour-katella-garden-grove-13852-harbor-blvd-garden-grove-ca-92840/","1","Wienerschnitzel Harbor & Westminster in Garden Grove","52","","0","Indexable",""
"https://www.wienerschnitzel.com/location/283-brookhurst-garfield-huntington-beach-19101-brookhurst-huntington-beach-ca-92646/","1","Wienerschnitzel Brookhurst & Garfield in Huntington Beach","57","","0","Indexable",""
"https://www.wienerschnitzel.com/location/418-bowman-auburn-ravine-auburn-13401-bowman-avenue-auburn-ca-95603/","1","Wienerschnitzel Bowman Road & Auburn Ravine Road in Auburn","58","","0","Indexable",""
"https://www.wienerschnitzel.com/location/580-south-ventura-redwood-oxnard-2830-s-ventura-oxnard-ca-93033/","1","Wienerschnitzel south ventura redwood Oxnard","44","","0","Indexable",""
"https://www.wienerschnitzel.com/location/221-west-springfield-south-country-fair-champaign-2102-w-springfield-ave-champaign-il-61821/","1","Wienerschnitzel West Springfield & South Country Fair in Champaign","66","","0","Indexable",""
"https://www.wienerschnitzel.com/location/815-temecula-redhawk-temecula-32080-temecula-pkwy-temecula-ca-92052/","1","Wienerschnitzel temecula redhawk Temecula","41","","0","Indexable",""
"https://www.wienerschnitzel.com/location/808-hesperia-nisqualli-victorville-12951-2-hesperia-rd-victorville-ca-92392/","1","Wienerschnitzel hesperia nisqualli Victorville","46","","0","Indexable",""
"https://www.wienerschnitzel.com/location/467-east-foothill-helms-rancho-cucamonga-9421-foothill-blvd-rancho-cucamonga-ca-91730/","1","Wienerschnitzel East Foothill & Helms in Rancho Cucamonga","57","","0","Indexable",""
"https://www.wienerschnitzel.com/food/breakfast/breakfast-burrito/","1","Breakfast Burrito","17","","0","Indexable",""
"https://www.wienerschnitzel.com/location/343-university-iowa-riverside-1246-university-avenue-riverside-ca-92507/","1","Wienerschnitzel University Ave & Iowa Ave in Riverside","54","","0","Indexable",""
"https://www.wienerschnitzel.com/location/793-north-vasco-northfront-livermore-816-n-vasco-road-livermore-ca-94551/","1","Wienerschnitzel north vasco northfront Livermore","48","","0","Indexable",""
"https://www.wienerschnitzel.com/location/687-wonder-world-leah-san-marcos-1071-wonder-world-drive-san-marcos-tx-78666/","1","Wienerschnitzel Wonder World & Leah in San Marcos","49","","0","Indexable",""
"https://www.wienerschnitzel.com/location/820-east-walnut-south-grove-ontario-1175-e-walnut-st-ontario-ca-91761/","1","Wienerschnitzel East Walnut & South Grove in Ontario","52","","0","Indexable",""
"https://www.wienerschnitzel.com/location/23-central-de-anza-riverside-3695-central-riverside-ca-92506/","1","Wienerschnitzel Central & De Anza in Riverside","46","","0","Indexable",""
"https://www.wienerschnitzel.com/location/527-sunnymead-heacock-moreno-valley-24007-sunnymead-blvd-moreno-valley-ca-92553/","1","Wienerschnitzel sunnymead heacock Moreno Valley","47","","0","Indexable",""
"https://www.wienerschnitzel.com/location/311-west-shaw-sylmar-clovis-555-west-shaw-clovis-ca-93612/","1","Wienerschnitzel West Shaw & Sylmar in Clovis","44","","0","Indexable",""
"https://www.wienerschnitzel.com/location/626-east-imperial-north-rose-placentia-1005-east-imperial-hwy-placentia-ca-92870/","1","Wienerschnitzel East Imperial & North Rose in Placentia","55","","0","Indexable",""
"https://www.wienerschnitzel.com/food/drinks/diet-coke/","1","Diet Coke®","10","","0","Indexable",""
"https://www.wienerschnitzel.com/location/683-east-dyer-55-fwy-santa-ana-752-e-dyer-road-santa-ana-ca-92705/","1","Wienerschnitzel East Dyer & 55 Fwy in Santa Ana","47","","0","Indexable",""
"https://www.wienerschnitzel.com/location/247-el-paseo-wyatt-las-cruces-1028-east-el-paseo-las-cruces-nm-88001/","1","Wienerschnitzel El Paseo & Wyatt in Las Cruces","46","","0","Indexable",""
"https://www.wienerschnitzel.com/location/816-west-baker-burnet-austin-2512-braker-lane-austin-tx-78758/","1","Wienerschnitzel west baker burnet Austin","40","","0","Indexable",""
"https://www.wienerschnitzel.com/location/145-north-oracle-west-yavapai-tucson-3460-n-oracle-road-tucson-az-85705/","1","Wienerschnitzel north oracle west yavapai Tucson","48","","0","Indexable",""
"https://www.wienerschnitzel.com/location/831-telegraph-and-florence-in-whittier-13543-florence-whittier-ca-90605/","1","Wienerschnitzel Telegraph and Florence in Whittier","50","","0","Indexable",""
"https://www.wienerschnitzel.com/location/345-fremont-darwin-fremont-34480-fremont-blvd-fremont-ca-94555/","1","Wienerschnitzel Fremont Blvd & Paseo Padre Pkwy in Fremont","58","","0","Indexable",""
"https://www.wienerschnitzel.com/location/273-south-alvernon-25th-tucson-1481-s-alvernon-way-tucson-az-85711/","1","Wienerschnitzel south alvernon 25th Tucson","42","","0","Indexable",""
"https://www.wienerschnitzel.com/location/351-warner-springdale-huntington-bch-5966-warner-avenue-huntington-beach-ca-92649/","1","Wienerschnitzel Warner & Springdale in Huntington Beach","55","","0","Indexable",""
"https://www.wienerschnitzel.com/location/38-west-carson-south-normandie-torrance-1125-west-carson-street-torrance-ca-90502/","1","Wienerschnitzel west carson south normandie Torrance","52","","0","Indexable",""
"https://www.wienerschnitzel.com/location/744-archibald-inland-empire-ontario-761-north-archibald-ontario-ca-91764/","1","Wienerschnitzel Archibald & Inland Empire in Ontario","52","","0","Indexable",""
"https://www.wienerschnitzel.com/location/193-east-alisal-north-hebbron-salinas-711-east-alisal-salinas-ca-93905/","1","Wienerschnitzel East Alisal & North Hebbron in Salinas","54","","0","Indexable",""
"https://www.wienerschnitzel.com/location/588-ontario-mills-north-milliken-ontario-4605-ontario-mills-circle-ontario-ca-91764/","1","Wienerschnitzel ontario mills north milliken Ontario","52","","0","Indexable",""
"https://www.wienerschnitzel.com/location/586-south-14th-matador-abilene-2997-south-14th-street-abilene-tx-79605/","1","Wienerschnitzel south 14th matador Abilene","42","","0","Indexable",""
"https://www.wienerschnitzel.com/location/12-east-artesia-north-orizaba-ave-long-beach-3012-east-artesia-long-beach-ca-90805/","1","Wienerschnitzel East Artesia & North Orizaba Ave in Long Beach","62","","0","Indexable",""
"https://www.wienerschnitzel.com/location/734-hamner-sixth-norco-3645-hamner-ave-norco-ca-92860/","1","Wienerschnitzel Hamner & Sixth in Norco","39","","0","Indexable",""
"https://www.wienerschnitzel.com/location/119-rio-grande-north-laurent-victoria-1218-rio-grande-victoria-tx-77901/","1","Wienerschnitzel rio grande north laurent Victoria","49","","0","Indexable",""
