"Adresse","Type de contenu","Code HTTP","Statut","Indexabilité","Statut d'indexabilité","Title 1","Longueur du Title 1","Largeur en pixels du Title 1","Meta Description 1","Longueur de la Meta Description 1","Largeur en pixels de la Meta Description 1","Meta Keywords 1","Longueur des Meta Keywords 1","H1-1","Longueur du H1-1","H2-1","Longueur du H2-1","H2-2","Longueur du H2-2","Meta Robots 1","Balise X-Robots 1","Meta Refresh 1","Élément de lien en version canonique 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","Élément de lien amphtml","Taille (octets)","Transféré (octets)","Total transféré (en octets)","CO2 (mg)","Empreinte carbone","Nombre de mots","Nombre de phrases","Moyenne de mots par phrase","Score de lisibilité de Flesch","Lisibilité","Ratio texte","Crawl profondeur","Profondeur du dossier","Link Score","Liens entrants","Liens entrants uniques","Liens entrants JS uniques","% du total","Liens sortants","Liens sortants uniques","Liens sortants JS uniques","Liens sortants externes","Liens sortants externes uniques","Liens sortants JS externes uniques","Quasi-doublon le plus proche","Nombre de quasi-doublons","Erreurs d'orthographe","Erreurs de grammaire","Hachage","Temps de réponse","Last Modified","URL de redirection","Type de redirection","Cookies","Language","Version HTTP","Lien alternate mobile","Adresse sémantiquement similaire la plus proche","Score de similarité sémantique","Nbre sémantiquement similaires","Score de pertinence sémantique","Adresse codée en URL","Horodatage du crawl"
"https://www.deltaco.com/index.php?page=news&item_id=254","text/html; charset=UTF-8","404","Not Found","Non indexable","Erreur client ","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","6","0","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,647","","","","","","1.1","","","","","","https://www.deltaco.com/index.php?page=news&item_id=254","2026-02-27 14:06:49"
"https://www.deltaco.com/index.php?page=news&item_id=246","text/html; charset=UTF-8","404","Not Found","Non indexable","Erreur client ","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","6","0","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,665","","","","","","1.1","","","","","","https://www.deltaco.com/index.php?page=news&item_id=246","2026-02-27 14:06:49"
"https://www.deltaco.com/index.php?page=news&item_id=243","text/html; charset=UTF-8","404","Not Found","Non indexable","Erreur client ","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","6","0","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,698","","","","","","1.1","","","","","","https://www.deltaco.com/index.php?page=news&item_id=243","2026-02-27 14:06:49"
"https://www.deltaco.com/index.php?page=news&item_id=248","text/html; charset=UTF-8","404","Not Found","Non indexable","Erreur client ","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","6","0","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,693","","","","","","1.1","","","","","","https://www.deltaco.com/index.php?page=news&item_id=248","2026-02-27 14:06:49"
"https://www.deltaco.com/index.php?page=menu_items&category=quesadillas-nachos","text/html; charset=UTF-8","404","Not Found","Non indexable","Erreur client ","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","6","0","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,647","","","","","","1.1","","","","","","https://www.deltaco.com/index.php?page=menu_items&category=quesadillas-nachos","2026-02-27 14:06:49"
"https://www.deltaco.com/checkgiftcardbalance.html","text/html; charset=UTF-8","200","OK","Non indexable","Canonisé","Del Taco - Check Gift Card Balance","34","310","Official Del Taco (R) website: Find locations, get coupons and Del Taco info, join Del Yeah! Rewards, check out the menu & nutrition info, explore Del Taco careers & franchising.","178","1072","del taco, fast food chain, franchise information, open 24 hours, macho burrito, gift cards, del taco coupons, Levy Acquisition Corp., Epic Burrito, Buck & Under Menu, Taco Nights, QSR, Del Yeah! Rewards, UnFreshingBelievable, Eat Well With Del, Fresca Bowls","257","Del Taco","8","","0","","0","ALL","","","https://deltaco.com/checkgiftcardbalance","","","","","","12642","12642","12642","4,843","","22","4","5,500","43,589","Difficile","3,338","6","0","","2","2","0","2,220","17","11","0","20","13","0","","","","","ee7d02a9f60de74cf92340488f5f4042","0,654","Sat, 31 Jan 2026 03:13:57 GMT","","","","en","1.1","","","","","","https://www.deltaco.com/checkgiftcardbalance.html","2026-02-27 14:06:49"
"https://www.deltaco.com/files/menu/item/DEL-246-Promo-5_Product_Hero_Chicken-Queso_860x480﹖v=4.057.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","243813","243813","243813","93,400","","0","","","","","0,000","6","3","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,654","Sat, 03 Jan 2026 19:29:43 GMT","","","","","1.1","","","","","","https://www.deltaco.com/files/menu/item/DEL-246-Promo-5_Product_Hero_Chicken-Queso_860x480%EF%B9%96v=4.057.png","2026-02-27 14:06:50"
"https://www.deltaco.com/files/menu/item/1-DEL-155_Promo-3-Web-Images_Hero_3LayerQuesoNachos_860x480﹖v=4.057.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","469930","469930","469930","180,021","","0","","","","","0,000","6","3","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,206","Sat, 03 Jan 2026 19:29:42 GMT","","","","","1.1","","","","","","https://www.deltaco.com/files/menu/item/1-DEL-155_Promo-3-Web-Images_Hero_3LayerQuesoNachos_860x480%EF%B9%96v=4.057.png","2026-02-27 14:06:50"
"https://www.deltaco.com/files/menu/item/thumb_image_nachos_450x355﹖v=4.057.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","107471","107471","107471","41,170","","0","","","","","0,000","6","3","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,606","Sat, 03 Jan 2026 19:29:44 GMT","","","","","1.1","","","","","","https://www.deltaco.com/files/menu/item/thumb_image_nachos_450x355%EF%B9%96v=4.057.jpg","2026-02-27 14:06:50"
"https://www.deltaco.com/files/menu/item/1-DEL-155_Promo-3-Web-Images_Thumbnail_3LayerQuesoNachos_450x355﹖v=4.057.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","70041","70041","70041","26,831","","0","","","","","0,000","6","3","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,676","Sat, 03 Jan 2026 19:29:42 GMT","","","","","1.1","","","","","","https://www.deltaco.com/files/menu/item/1-DEL-155_Promo-3-Web-Images_Thumbnail_3LayerQuesoNachos_450x355%EF%B9%96v=4.057.jpg","2026-02-27 14:06:50"
